Date,Event Public Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified
2025-09-10,"10 September 2025: Aid seekers were fired upon by Israeli forces, injuring an unspecified number of people.  ",OPT,PSE,Gaza Strip,31.460003388,34.4181056993,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118875,2025-10-16,2025-10-16
2025-09-09,"09 September 2025: Palestinian aid seekers near an aid distribution centre were fired upon by Israeli forces, killing nine people, including a child. ",OPT,PSE,Gaza Strip,31.2964478969,34.2833491629,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118676,2025-10-11,2025-10-14
2025-09-09,09 September 2025: At least five Palestinians were killed near an aid distribution point by Israeli forces.,OPT,PSE,Gaza Strip,31.3443293,34.3095897,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118690,2025-10-12,2025-10-12
2025-09-08,"08 September 2025: While seeking aid, at least six Palestinians were killed and 15 injured by Israeli forces.",OPT,PSE,Gaza Strip,31.3084659,34.2865698,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118658,2025-10-11,2025-10-11
2025-09-07,07 September 2025: 2 Palestinians were killed and an unspecific number were injured by Israeli forces while waiting to receive humanitarian aid. ,OPT,PSE,Gaza Strip,31.3511,34.2934,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118712,2025-10-12,2025-10-12
2025-09-06,"06 September 2025: While waiting to receive humanitarian aid near an aid centre, three Palestinians were killed by Israeli forcesâ€™ fire.",OPT,PSE,Gaza Strip,31.3443293,34.3095897,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118657,2025-10-11,2025-10-11
2025-09-06,"06 September 2025: Palestinian aid seekers were fired upon by Israeli forces near an INGO centre, killing six people and injuring an unspecified number of others. _x000D_
",OPT,PSE,Gaza Strip,31.2964478969,34.2833491629,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118675,2025-10-11,2025-10-14
2025-09-06,06 September 2025:11 aid seekers were shot and killed by Israeli forces. ,OPT,PSE,Gaza Strip,31.3511,34.2934,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118709,2025-10-12,2025-10-12
2025-09-06,"06 September 2025: At least 19 Palestinians were killed and an unspecified number of others injured by Israeli forcesâ€™ fire while waiting to receive humanitarian aid. _x000D_
",OPT,PSE,Gaza Strip,31.3511,34.2934,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118713,2025-10-12,2025-10-12
2025-09-06,06 September 2025: 13 Palestinians were killed and an unspecified number of others injured by Israeli forces while seeking aid.,OPT,PSE,Gaza Strip,31.5417,34.5196,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118723,2025-10-12,2025-10-13
